"ID","製品番号","区分","担当者","期限","コメント","詳細","ステータス","登録日","更新日"
"1","33801","取引先の在庫買取","千田紘也","2025/10/28 0:00:00","","","未着手","2025/10/09 18:09:55","2025/10/09 18:09:55"
"2","33801","取引先の在庫買取","千田紘也","2025/10/28 0:00:00","test","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa","着手","2025/10/09 18:10:29","2025/10/09 18:10:29"
"3","92305","取引先の在庫買取","千田紘也","2025/10/29 0:00:00","test","test","完了","2025/10/09 18:10:49","2025/10/09 18:10:49"
"4","33801","最終購買数の確認","千田紘也","2025/10/28 0:00:00","test","test","着手","2025/10/09 18:24:20","2025/10/09 18:24:20"
"5","33801","後継機の先行手配確認","","","","","完了","2025/10/09 18:24:35","2025/10/09 18:24:35"
"6","33801","カウントダウン数の確認","野田真和","2025/10/23 0:00:00","1267にてカウントダウン決定","・旧品　10MXETCDMSRP41	VERIFONE P400-DMSR(REV.04)
については、500台程度BUにて確保する。
※BUの確保数の変更がある場合、カウントダウン数を見直しする。
","完了","2025/10/29 8:38:29","2025/10/29 8:38:29"
"7","33801","専用部品の抽出","野田真和","2025/10/23 0:00:00","10MXETCDMSRP41	VERIFONE P400-DMSR(REV.04)","","未着手","2025/10/29 8:39:16","2025/10/29 8:39:16"
"8","33801","専用部品の抽出","","","","","完了","2025/10/29 8:39:20","2025/10/29 8:39:20"
"9","33801","品目メンテ(ロット見直し含む)","野田真和","2025/10/29 0:00:00","新部品コードと、新PLUの取得のため見積資材の変更不要","33801　→　33820　へ変更","完了","2025/10/29 8:40:24","2025/10/29 8:40:24"
"10","33801","後継機","野田真和","2025/10/29 0:00:00","33820　にて受注、PLU登録済み・業連発行済み","","完了","2025/10/29 8:41:16","2025/10/29 8:41:16"
"11","33801","後継機の先行手配確認","野田真和","2025/10/17 0:00:00","切替PO発行済み　4250台","新品番　10MXETCDMSRP42	VERIFONE P400-DMSR2
併せて旧品番陳腐化","完了","2025/10/29 8:42:31","2025/10/29 8:42:31"
"12","33801","棚卸","千田","2025/11/07 0:00:00","","
旧品カウント
10MXETCDMSRP41              VERIFONE P400-DMSR(REV.04)","着手","2025/10/29 9:17:20","2025/10/29 9:17:20"
"13","33801","オーダー見直し/リワーク","及川俊裕","2025/10/29 0:00:00","","","完了","2025/10/29 12:43:41","2025/10/29 12:43:41"
"14","33801","オーダー見直し/リワーク","","","","","未着手","2025/10/29 12:43:47","2025/10/29 12:43:47"
"15","33801","補充オーダー解除(親基板忘れずに)","及川俊裕","2025/10/29 0:00:00","","","完了","2025/10/29 12:44:11","2025/10/29 12:44:11"
"16","33801","オーダー見直し/リワーク","及川俊裕","2025/10/29 0:00:00","","","完了","2025/10/29 12:44:25","2025/10/29 12:44:25"
"17","33801","棚卸","千田紘也","2025/10/29 0:00:00","実棚　10/29実施","実棚；1053個　BAAN：1483　在庫差異：430個（755倉庫へ移動）　　　

　	数量
第１組立	297
第１資材	84
→配膳先DAI1JIMU	
第2DSD	32
第2資材(ピッキング移動前)	24
外部倉庫	616


","完了","2025/10/29 14:41:01","2025/10/29 14:41:01"
